07-08-2016 06:48:13:449796 INFO:	SERVER:Get the data for the required vehicle 
07-08-2016 06:48:13:449882 INFO:	SERVER:Fiiling up base class vahan 
07-08-2016 06:48:13:451171 INFO:	SERVER:Pulsar details sent over socket 
07-08-2016 06:48:13:451354 INFO:	SERVER:Server exiting..... 
07-08-2016 06:48:13:451460 INFO:	SERVER:initializing the inotify 
07-08-2016 06:48:13:451605 INFO:	SERVER:Staring the thread for inotify 
07-08-2016 06:48:13:452172 INFO:	SERVER:Adding a watch for file 
07-08-2016 06:48:13:452329 INFO:	SERVER:infite while loop 
07-08-2016 07:22:28:285581 INFO:	SERVER:Staring the server 
07-08-2016 07:22:28:285986 INFO:	SERVER:Fetching data base path 
07-08-2016 07:22:28:286217 DEBUG:	SERVER:Database path found 
07-08-2016 07:22:28:288019 INFO:	SERVER:Client[ ] request for details pulsar 23 
07-08-2016 07:22:28:288239 DEBUG:	SERVER:Getting the instance of database 
07-08-2016 07:22:28:288388 INFO:	SERVER:Get the data for the required vehicle 
07-08-2016 07:22:28:288549 INFO:	SERVER:Fiiling up base class vahan 
07-08-2016 07:22:28:292929 INFO:	SERVER:Pulsar details sent over socket 
07-08-2016 07:22:28:293457 INFO:	SERVER:Server exiting..... 
07-08-2016 07:22:28:293629 INFO:	SERVER:initializing the inotify 
07-08-2016 07:22:28:293767 INFO:	SERVER:Staring the thread for inotify 
07-08-2016 07:22:28:294000 INFO:	SERVER:Adding a watch for file 
07-08-2016 07:22:28:294254 INFO:	SERVER:infite while loop 
07-08-2016 07:22:44:635209 INFO:	SERVER:file is modified 
07-08-2016 07:22:44:635289 INFO:	SERVER:infite while loop 
07-08-2016 07:22:48:640157 INFO:	SERVER:infite while loop 
07-08-2016 07:24:16:804048 INFO:	SERVER:infite while loop 
07-08-2016 07:24:16:847567 INFO:	SERVER:infite while loop 
07-08-2016 07:24:16:869815 INFO:	SERVER:infite while loop 
07-08-2016 07:24:20:874343 INFO:	SERVER:infite while loop 
07-08-2016 07:25:27:928534 INFO:	SERVER:Staring the server 
07-08-2016 07:25:27:930793 INFO:	SERVER:Fetching data base path 
07-08-2016 07:25:27:931956 DEBUG:	SERVER:Database path found 
07-08-2016 07:25:27:938390 INFO:	SERVER:Client[ ] request for details pulsar 23 
07-08-2016 07:25:27:939808 DEBUG:	SERVER:Getting the instance of database 
07-08-2016 07:25:27:940172 INFO:	SERVER:Get the data for the required vehicle 
07-08-2016 07:25:27:940509 INFO:	SERVER:Fiiling up base class vahan 
07-08-2016 07:25:27:947962 INFO:	SERVER:Pulsar details sent over socket 
07-08-2016 07:25:27:948758 INFO:	SERVER:Server exiting..... 
07-08-2016 07:25:27:949064 INFO:	SERVER:initializing the inotify 
07-08-2016 07:25:27:949407 INFO:	SERVER:Staring the thread for inotify 
07-08-2016 07:25:27:950034 INFO:	SERVER:Adding a watch for file 
07-08-2016 07:25:27:950340 INFO:	SERVER:infite while loop 
07-08-2016 07:25:38:550622 INFO:	SERVER:file is modified 
07-08-2016 07:25:38:550774 INFO:	SERVER:infite while loop 
07-08-2016 07:25:42:557156 INFO:	SERVER:infite while loop 
07-08-2016 07:27:47:62199 INFO:	SERVER:Staring the server 
07-08-2016 07:27:47:63388 INFO:	SERVER:Fetching data base path 
07-08-2016 07:27:47:64711 DEBUG:	SERVER:Database path found 
07-08-2016 07:27:47:69616 INFO:	SERVER:Client[ ] request for details pulsar 23 
07-08-2016 07:27:47:70158 DEBUG:	SERVER:Getting the instance of database 
07-08-2016 07:27:47:71845 INFO:	SERVER:Get the data for the required vehicle 
07-08-2016 07:27:47:72857 INFO:	SERVER:Fiiling up base class vahan 
07-08-2016 07:27:47:91059 INFO:	SERVER:Pulsar details sent over socket 
07-08-2016 07:27:47:91358 INFO:	SERVER:Server exiting..... 
07-08-2016 07:27:47:91491 INFO:	SERVER:initializing the inotify 
07-08-2016 07:27:47:91555 INFO:	SERVER:Staring the thread for inotify 
07-08-2016 07:27:47:91702 INFO:	SERVER:Adding a watch for file 
07-08-2016 07:27:47:91768 INFO:	SERVER:infite while loop 
07-08-2016 07:27:58:99386 INFO:	SERVER:file is modified 
07-08-2016 07:27:58:99552 INFO:	SERVER:infite while loop 
07-08-2016 07:28:13:823175 INFO:	SERVER:infite while loop 
07-08-2016 07:28:13:876676 INFO:	SERVER:infite while loop 
07-08-2016 07:28:13:879079 INFO:	SERVER:infite while loop 
07-08-2016 07:28:17:883929 INFO:	SERVER:infite while loop 
07-08-2016 07:28:34:46614 INFO:	SERVER:infite while loop 
07-08-2016 07:28:38:50841 INFO:	SERVER:infite while loop 
07-08-2016 07:30:09:408600 INFO:	SERVER:Staring the server 
07-08-2016 07:30:09:411195 INFO:	SERVER:Fetching data base path 
07-08-2016 07:30:09:412744 DEBUG:	SERVER:Database path found 
07-08-2016 07:30:09:413946 INFO:	SERVER:Client[ ] request for details pulsar 23 
07-08-2016 07:30:09:414133 DEBUG:	SERVER:Getting the instance of database 
07-08-2016 07:30:09:414250 INFO:	SERVER:Get the data for the required vehicle 
07-08-2016 07:30:09:414384 INFO:	SERVER:Fiiling up base class vahan 
07-08-2016 07:30:09:419755 INFO:	SERVER:Pulsar details sent over socket 
07-08-2016 07:30:09:420750 INFO:	SERVER:Server exiting..... 
07-08-2016 07:30:09:421707 INFO:	SERVER:initializing the inotify 
07-08-2016 07:30:09:421856 INFO:	SERVER:Staring the thread for inotify 
07-08-2016 07:30:09:422520 INFO:	SERVER:Adding a watch for file 
07-08-2016 07:30:09:422938 INFO:	SERVER:infite while loop 
07-08-2016 07:30:09:423231 INFO:	SERVER:value of length is  
07-08-2016 07:30:09:423407 INFO:	SERVER:value of i is  
07-08-2016 07:30:34:472137 INFO:	SERVER:file is modified 
07-08-2016 07:30:34:472219 INFO:	SERVER:infite while loop 
07-08-2016 07:30:34:472242 INFO:	SERVER:ad 
07-08-2016 07:30:34:472286 INFO:	SERVER:Value of length is %d 
07-08-2016 07:30:34:503843 INFO:	SERVER:infite while loop 
07-08-2016 07:30:34:503892 INFO:	SERVER:s  
07-08-2016 07:30:34:503902 INFO:	SERVER:Value of length is %d 
07-08-2016 07:30:34:506193 INFO:	SERVER:infite while loop 
07-08-2016 07:30:34:506235 INFO:	SERVER:ad 
07-08-2016 07:30:34:506244 INFO:	SERVER:Value of length is %d 
07-08-2016 07:30:38:511708 INFO:	SERVER:infite while loop 
07-08-2016 07:30:38:511794 INFO:	SERVER:ad 
07-08-2016 07:30:38:511874 INFO:	SERVER:Value of length is %d 
07-08-2016 07:31:04:810287 INFO:	SERVER:infite while loop 
07-08-2016 07:31:04:810376 INFO:	SERVER:ad 
07-08-2016 07:31:04:810396 INFO:	SERVER:Value of length is %d 
07-08-2016 07:31:06:476583 INFO:	SERVER:infite while loop 
07-08-2016 07:31:06:476740 INFO:	SERVER:ad 
07-08-2016 07:31:06:476780 INFO:	SERVER:Value of length is %d 
07-08-2016 07:31:06:514767 INFO:	SERVER:infite while loop 
07-08-2016 07:31:06:514827 INFO:	SERVER:s  
07-08-2016 07:31:06:514842 INFO:	SERVER:Value of length is %d 
07-08-2016 07:31:06:518782 INFO:	SERVER:infite while loop 
07-08-2016 07:31:06:518845 INFO:	SERVER:ad 
07-08-2016 07:31:06:518862 INFO:	SERVER:Value of length is %d 
07-08-2016 07:31:10:524621 INFO:	SERVER:infite while loop 
07-08-2016 07:31:10:524810 INFO:	SERVER:ad 
07-08-2016 07:31:10:524851 INFO:	SERVER:Value of length is %d 
07-08-2016 07:32:05:53568 INFO:	SERVER:Staring the server 
07-08-2016 07:32:05:53880 INFO:	SERVER:Fetching data base path 
07-08-2016 07:32:05:54006 DEBUG:	SERVER:Database path found 
07-08-2016 07:32:05:54730 INFO:	SERVER:Client[ ] request for details pulsar 23 
07-08-2016 07:32:05:54841 DEBUG:	SERVER:Getting the instance of database 
07-08-2016 07:32:05:54913 INFO:	SERVER:Get the data for the required vehicle 
07-08-2016 07:32:05:54995 INFO:	SERVER:Fiiling up base class vahan 
07-08-2016 07:32:05:58090 INFO:	SERVER:Pulsar details sent over socket 
07-08-2016 07:32:05:59595 INFO:	SERVER:Server exiting..... 
07-08-2016 07:32:05:60564 INFO:	SERVER:initializing the inotify 
07-08-2016 07:32:05:61444 INFO:	SERVER:Staring the thread for inotify 
07-08-2016 07:32:05:61947 INFO:	SERVER:Adding a watch for file 
07-08-2016 07:32:05:62758 INFO:	SERVER:infite while loop 
07-08-2016 07:32:10:995767 INFO:	SERVER:file is modified 
07-08-2016 07:32:10:997207 INFO:	SERVER:infite while loop 
07-08-2016 07:32:14:999183 INFO:	SERVER:infite while loop 
07-08-2016 07:32:37:383775 INFO:	SERVER:infite while loop 
07-08-2016 07:32:37:392351 INFO:	SERVER:infite while loop 
07-08-2016 07:32:37:398969 INFO:	SERVER:infite while loop 
07-08-2016 07:32:41:403759 INFO:	SERVER:infite while loop 
07-08-2016 07:41:35:39177 INFO:	SERVER:Staring the server 
07-08-2016 07:41:35:39637 INFO:	SERVER:Fetching data base path 
07-08-2016 07:41:35:39787 DEBUG:	SERVER:Database path found 
07-08-2016 07:41:35:40289 INFO:	SERVER:Client[ ] request for details pulsar 23 
07-08-2016 07:41:35:40644 DEBUG:	SERVER:Getting the instance of database 
07-08-2016 07:41:35:40775 INFO:	SERVER:Get the data for the required vehicle 
07-08-2016 07:41:35:40902 INFO:	SERVER:Fiiling up base class vahan 
07-08-2016 07:41:35:41671 INFO:	SERVER:Pulsar details sent over socket 
07-08-2016 07:41:35:41872 INFO:	SERVER:Server exiting..... 
07-08-2016 07:41:35:41983 INFO:	SERVER:initializing the inotify 
07-08-2016 07:41:35:42090 INFO:	SERVER:Staring the thread for inotify 
07-08-2016 07:41:35:42892 INFO:	SERVER:Adding a watch for file 
07-08-2016 07:41:35:43096 INFO:	SERVER:infite while loop 
07-08-2016 07:41:56:243368 INFO:	SERVER:Staring the server 
